door_id,last_maintenance_date,maintenance_type,number_of_past_failures,days_since_last_failure,days_to_next_failure,failed_next_30_days
I-DE-000083,2024-07-10,Preventive,1,853,0.8119118055555562,
I-DE-000084,2024-07-17,Inspection,3,0,0.8918003858024682,
I-DE-000085,2024-11-25,Preventive,1,1,0.7668469135802454,
I-DE-000086,2024-09-16,Inspection,0,693,0.9070086805555557,
I-DE-000087,2024-07-18,Inspection,1,0,0.689770370370369,
I-DE-000088,2024-09-17,Inspection,3,0,0.5322653163580244,
I-DE-000089,2024-09-13,Inspection,2,1,0.7474660879629609,
I-DE-000090,2024-09-02,Major Repair,4,1,0.5876798996913576,
I-DE-000091,2024-10-12,Inspection,2,347,0.9858111111111117,
I-DE-000092,2024-11-19,Inspection,1,0,0.5172974922839505,
I-DE-000093,2024-12-18,Preventive,3,2,0.5397807484567906,
I-DE-000094,2024-09-09,Corrective,10,0,0.5964287422839499,
I-DE-000095,2024-11-05,Major Repair,6,0,0.43951450617283977,
I-DE-000096,2024-12-18,Corrective,4,1,0.38114618055555516,
I-DE-000097,2024-11-30,Major Repair,4,0,0.4904824845679021,
I-DE-000098,2024-09-28,Inspection,3,0,0.638970486111111,
G-DE-000099,2024-07-22,Preventive,0,772,1.3822831790123502,
G-DE-000100,2024-07-01,Inspection,2,685,1.2255496913580268,
G-DE-000101,2024-09-15,Preventive,0,182,1.3822831790123502,
G-DE-000102,2024-09-20,Preventive,0,63,1.3822831790123502,
G-DE-000103,2024-09-10,Preventive,0,187,1.3822831790123502,
G-DE-000104,2024-12-01,Inspection,0,164,1.3548932484567933,
G-DE-000105,2024-12-27,Inspection,1,102,1.320872800925929,
G-DE-000106,2024-07-10,Inspection,1,1,1.3045587191358048,
G-DE-000107,2024-10-13,Preventive,0,655,1.3822831790123502,
G-DE-000108,2024-09-21,Inspection,0,716,1.3548932484567933,
G-DE-000109,2024-08-08,Inspection,0,370,1.3548932484567933,
P-IT-000110,2024-09-24,Preventive,0,849,1.0817275848765442,
P-IT-000111,2024-07-30,Preventive,3,0,1.314096759259261,
P-IT-000112,2024-11-18,Inspection,0,2,1.3550166280864213,
P-IT-000113,2024-11-11,Preventive,0,189,1.231193364197534,
P-IT-000114,2024-09-26,Preventive,3,0,0.5015150848765427,
P-IT-000115,2024-11-06,Major Repair,6,0,0.3623557870370373,
P-IT-000116,2024-09-27,Corrective,5,0,0.42040787037037,
P-IT-000117,2024-07-22,Inspection,3,0,0.393481404320988,
P-IT-000118,2024-07-22,Preventive,0,0,0.696491010802469,
P-IT-000119,2024-12-20,Corrective,5,0,0.45125806327160545,
I-IT-000120,2024-09-17,Preventive,0,0,0.6253614197530857,
I-IT-000121,2024-08-08,Major Repair,4,0,1.1030221450617281,
I-IT-000122,2024-09-15,Preventive,0,550,0.7390583333333326,
I-IT-000123,2024-07-24,Preventive,1,1,0.7779365740740749,
I-IT-000124,2024-07-28,Inspection,2,1,0.5137920910493822,
I-IT-000125,2024-08-11,Inspection,2,0,0.8461314814814827,
I-IT-000126,2024-10-13,Corrective,5,0,0.6504097993827157,
I-IT-000127,2024-12-13,Inspection,3,0,0.6706577160493824,
I-IT-000128,2024-09-04,Corrective,4,0,0.31005096450617303,
I-IT-000129,2024-10-05,Corrective,4,1,0.49324151234567826,
I-IT-000130,2024-08-24,Corrective,5,1,0.3367077932098764,
G-IT-000131,2024-06-30,Inspection,1,824,1.320872800925929,
G-IT-000132,2024-08-24,Inspection,0,664,1.3548932484567933,
G-IT-000133,2024-10-06,Preventive,1,472,1.3498302469135843,
G-IT-000134,2024-12-06,Preventive,0,1,1.354846875000005,
G-IT-000135,2024-05-21,Preventive,0,719,1.3822831790123502,
G-IT-000136,2024-07-02,Preventive,1,641,1.3498302469135843,
G-IT-000137,2024-12-21,Inspection,1,481,1.320872800925929,
G-IT-000138,2024-12-23,Preventive,0,1,1.3465911265432138,
G-IT-000139,2024-12-15,Preventive,2,1,1.2952115354938296,
G-IT-000140,2024-07-30,Preventive,0,442,1.3822831790123502,
P-UK-000141,2024-06-18,Inspection,1,0,1.3252040895061732,
P-UK-000142,2024-11-25,Inspection,2,148,1.0192027777777788,
P-UK-000143,2024-12-13,Inspection,0,0,0.9058799768518518,
P-UK-000144,2024-07-31,Inspection,3,0,0.968778626543211,
P-UK-000145,2024-06-23,Inspection,2,1,1.2847258487654318,
P-UK-000146,2024-08-20,Preventive,0,1,0.5941140817901233,
P-UK-000147,2024-10-26,Major Repair,8,0,0.7226336419753082,
P-UK-000148,2024-09-05,Inspection,1,0,0.5522209104938268,
P-UK-000149,2024-09-03,Inspection,3,0,0.31526913580246935,
P-UK-000150,2024-08-13,Inspection,2,0,0.5330795138888894,
P-UK-000151,2024-08-02,Inspection,1,0,0.5913631558641975,
I-UK-000152,2024-07-10,Preventive,3,170,0.92872901234568,
I-UK-000153,2024-10-25,Preventive,2,1,0.6866661265432102,
I-UK-000154,2024-12-18,Inspection,0,81,0.9042527391975318,
I-UK-000155,2024-10-27,Inspection,2,483,1.0429283564814817,
I-UK-000156,2024-11-24,Preventive,2,0,0.6958298996913558,
I-UK-000157,2024-09-26,Major Repair,5,0,0.49630362654321025,
I-UK-000158,2024-11-06,Corrective,4,0,0.6745321373456794,
I-UK-000159,2024-11-03,Major Repair,5,0,0.44198040123456755,
I-UK-000160,2024-09-29,Major Repair,9,0,0.7506144290123467,
G-UK-000161,2024-12-10,Preventive,0,294,1.3822831790123502,
G-UK-000162,2024-10-05,Inspection,1,339,1.320872800925929,
G-UK-000163,2024-12-05,Inspection,1,343,1.320872800925929,
G-UK-000164,2024-06-18,Preventive,1,1,1.323311959876548,
G-UK-000165,2024-11-16,Inspection,0,630,1.3548932484567933,
G-UK-000166,2024-10-06,Inspection,0,431,1.3548932484567933,
G-UK-000167,2024-11-13,Inspection,1,572,1.320872800925929,
G-UK-000168,2024-08-29,Preventive,1,481,1.3498302469135843,
G-UK-000169,2024-10-24,Inspection,0,67,1.3548932484567933,
P-PT-000170,2024-12-10,Inspection,2,1,0.766578279320988,
P-PT-000171,2024-08-23,Major Repair,6,0,0.42922955246913586,
I-PT-000172,2024-09-25,Preventive,1,0,0.4233458333333333,
I-PT-000173,2024-11-08,Preventive,1,0,0.6859228780864186,
I-PT-000174,2024-12-16,Corrective,4,0,0.46447368827160385,
G-PT-000175,2024-07-09,Inspection,0,594,1.3548932484567933,
G-PT-000176,2024-10-16,Preventive,1,353,1.3498302469135843,
G-PT-000177,2024-11-10,Preventive,0,173,1.3822831790123502,
P-PL-000178,2024-08-24,Inspection,1,0,1.30467527006173,
P-PL-000179,2024-11-29,Inspection,1,2,0.8606956790123452,
P-PL-000180,2024-10-27,Inspection,3,0,0.47996180555555545,
P-PL-000181,2024-09-28,Preventive,0,0,0.5138130401234566,
I-PL-000182,2024-06-24,Preventive,1,1,0.34327658179012355,
I-PL-000183,2024-12-25,Inspection,0,595,0.9881979938271619,
I-PL-000184,2024-07-31,Preventive,1,269,0.7641584876543209,
I-PL-000185,2024-09-09,Corrective,4,0,0.5167044367283942,
I-PL-000186,2024-10-21,Inspection,3,0,0.34130956790123435,
G-PL-000187,2024-07-27,Inspection,0,863,1.3548932484567933,
G-PL-000188,2024-11-22,Preventive,0,212,1.3822831790123502,
G-PL-000189,2024-10-26,Inspection,0,578,1.3548932484567933,
G-PL-000190,2024-06-28,Preventive,1,2,1.3218199074074108,
P-TR-000191,2024-08-07,Preventive,0,764,1.2978864197530893,
P-TR-000192,2024-07-15,Preventive,0,788,1.256876118827163,
P-TR-000193,2024-09-10,Major Repair,5,0,0.3837937500000003,
P-TR-000194,2024-08-10,Major Repair,5,0,0.36434228395061735,
I-TR-000195,2024-08-04,Inspection,1,0,0.6544078317901227,
I-TR-000196,2024-07-13,Preventive,2,1,0.7240570216049371,
I-TR-000197,2024-12-08,Inspection,3,1,1.2235321759259252,
I-TR-000198,2024-09-09,Preventive,0,305,0.777190933641975,
I-TR-000199,2024-08-01,Corrective,4,0,0.472140856481481,
I-TR-000200,2024-09-02,Major Repair,7,0,0.43352542438271596,
I-TR-000201,2024-10-11,Inspection,2,0,0.4893753472222225,
G-TR-000202,2024-12-19,Inspection,0,119,1.3548932484567933,
G-TR-000203,2024-07-11,Preventive,2,468,1.2342788966049418,
G-TR-000204,2024-07-28,Inspection,0,301,1.3548932484567933,
G-TR-000205,2024-06-29,Inspection,0,593,1.3548932484567933,
P-MA-000206,2024-08-05,Preventive,1,340,1.0842255015432116,
P-MA-000207,2024-09-28,Major Repair,5,0,0.32258641975308644,
I-MA-000208,2024-07-25,Inspection,2,880,0.966798765432099,
I-MA-000209,2024-09-09,Preventive,0,97,0.6679643132716041,
I-MA-000210,2024-08-12,Major Repair,4,0,0.4228366898148142,
G-MA-000211,2024-08-15,Preventive,0,759,1.3822831790123502,
G-MA-000212,2024-08-25,Inspection,0,554,1.3548932484567933,
P-EG-000213,2024-08-31,Preventive,3,2,1.2868769675925944,
P-EG-000214,2024-11-22,Corrective,4,0,0.39561871141975374,
I-EG-000215,2024-11-04,Inspection,2,0,0.33530590277777833,
I-EG-000216,2024-12-17,Corrective,5,0,0.3126285879629624,
G-EG-000217,2024-08-04,Inspection,0,290,1.3548932484567933,
G-EG-000218,2024-11-14,Preventive,1,759,1.3498302469135843,
P-IN-000219,2024-08-23,Preventive,1,472,1.0769986496913593,
P-IN-000220,2024-08-13,Inspection,0,2,1.8520194444444489,
P-IN-000221,2024-08-01,Inspection,1,2,1.4491592206790134,
P-IN-000222,2024-06-13,Inspection,3,0,0.9831913966049397,
P-IN-000223,2024-08-09,Preventive,3,0,0.471639930555556,
P-IN-000224,2024-11-18,Preventive,1,2,0.6933607253086412,
P-IN-000225,2024-12-11,Corrective,4,0,0.5022091049382722,
P-IN-000226,2024-09-15,Corrective,4,0,0.4074882716049387,
P-IN-000227,2024-11-09,Corrective,8,0,0.523590354938271,
P-IN-000228,2024-11-07,Corrective,4,0,0.2499093750000003,
P-IN-000229,2024-09-16,Preventive,0,0,0.5849760802469142,
I-IN-000230,2024-06-15,Preventive,0,272,0.6634526620370359,
I-IN-000231,2024-10-31,Preventive,2,0,0.8653979552469144,
I-IN-000232,2024-11-12,Preventive,0,290,0.6584438271604931,
I-IN-000233,2024-08-15,Preventive,0,766,0.6739801311728382,
I-IN-000234,2024-11-10,Preventive,3,1,0.5306990354938268,
I-IN-000235,2024-11-20,Inspection,1,1,1.0573730709876539,
I-IN-000236,2024-11-06,Preventive,0,519,0.7220823302469127,
I-IN-000237,2024-09-03,Inspection,1,2,1.2386634645061727,
I-IN-000238,2024-09-13,Preventive,1,557,0.9610411265432107,
I-IN-000239,2024-08-16,Major Repair,4,0,0.5121554783950616,
I-IN-000240,2024-11-05,Major Repair,6,0,0.5779403549382718,
I-IN-000241,2024-08-03,Inspection,2,1,0.5196947145061732,
I-IN-000242,2024-10-04,Corrective,4,0,0.43539930555555506,
I-IN-000243,2024-08-06,Inspection,3,0,0.5563061342592596,
I-IN-000244,2024-09-24,Preventive,1,0,0.5133447916666668,
I-IN-000245,2024-08-18,Inspection,2,0,0.68756138117284,
G-IN-000246,2024-09-25,Preventive,0,219,1.3822831790123502,
G-IN-000247,2024-10-30,Preventive,0,815,1.3822831790123502,
G-IN-000248,2024-10-30,Inspection,0,174,1.3548932484567933,
G-IN-000249,2024-12-08,Inspection,1,98,1.320872800925929,
G-IN-000250,2024-09-28,Preventive,1,541,1.3498302469135843,
G-IN-000251,2024-08-23,Preventive,3,0,1.2382374228395099,
G-IN-000252,2024-08-04,Inspection,1,578,1.320872800925929,
G-IN-000253,2024-12-15,Inspection,0,429,1.3548932484567933,
G-IN-000254,2024-09-24,Preventive,2,135,1.2342788966049418,
G-IN-000255,2024-10-04,Preventive,0,84,1.3822831790123502,
G-IN-000256,2024-08-01,Inspection,1,848,1.320872800925929,
G-IN-000257,2024-07-29,Preventive,1,750,1.3498302469135843,
G-IN-000258,2024-06-27,Inspection,0,808,1.3548932484567933,
G-IN-000259,2024-10-19,Preventive,0,331,1.3822831790123502,
G-IN-000260,2024-10-06,Preventive,0,771,1.3822831790123502,
G-IN-000261,2024-08-16,Inspection,0,532,1.3548932484567933,
G-IN-000262,2024-09-08,Inspection,0,273,1.3548932484567933,
P-CN-000263,2024-12-04,Preventive,0,86,1.214670447530867,
P-CN-000264,2024-06-26,Inspection,1,1,1.2914639274691369,
P-CN-000265,2024-06-15,Preventive,1,368,1.0636994598765455,
P-CN-000266,2024-09-18,Inspection,1,720,1.0632352237654323,
P-CN-000267,2024-12-05,Inspection,1,0,1.3953129243827167,
P-CN-000268,2024-10-01,Inspection,1,1,1.3055044753086429,
P-CN-000269,2024-08-28,Inspection,3,0,1.2517934799382733,
P-CN-000270,2024-08-23,Inspection,1,0,0.4961353009259262,
P-CN-000271,2024-11-09,Major Repair,5,0,0.6230293981481474,
P-CN-000272,2024-10-18,Preventive,2,1,0.6293295138888895,
P-CN-000273,2024-10-14,Major Repair,4,1,0.30600960648148184,
P-CN-000274,2024-08-20,Inspection,2,0,0.3292749228395058,
P-CN-000275,2024-11-09,Major Repair,5,0,0.33955138888888925,
P-CN-000276,2024-11-23,Inspection,1,0,0.7908093750000009,
P-CN-000277,2024-09-18,Inspection,2,0,0.6574195987654325,
P-CN-000278,2024-08-16,Inspection,2,0,0.34420964506172863,
I-CN-000279,2024-10-09,Inspection,1,646,0.9447003858024702,
I-CN-000280,2024-12-03,Preventive,3,1,0.6740134259259256,
I-CN-000281,2024-10-23,Inspection,1,1,0.40130381944444526,
I-CN-000282,2024-11-09,Preventive,0,711,0.6454326388888877,
I-CN-000283,2024-08-23,Inspection,0,618,1.0188357253086433,
I-CN-000284,2024-12-17,Preventive,1,2,0.6891413966049365,
I-CN-000285,2024-09-19,Major Repair,4,0,0.764790277777779,
I-CN-000286,2024-08-28,Major Repair,7,0,0.7985853009259246,
I-CN-000287,2024-10-28,Inspection,1,1,0.6234733796296295,
I-CN-000288,2024-07-06,Preventive,1,0,0.4112689043209881,
I-CN-000289,2024-06-29,Inspection,2,0,0.5700966435185176,
I-CN-000290,2024-11-09,Inspection,2,404,1.0588254243827164,
I-CN-000291,2024-10-13,Preventive,0,1,0.7150764274691342,
I-CN-000292,2024-10-06,Preventive,1,684,0.8662392746913586,
I-CN-000293,2024-07-05,Preventive,2,0,0.9121631558641993,
I-CN-000294,2024-09-29,Preventive,2,0,0.3432456790123456,
I-CN-000295,2024-10-08,Corrective,4,0,0.3827579089506172,
I-CN-000296,2024-10-28,Major Repair,6,0,0.4905868441358021,
I-CN-000297,2024-08-14,Inspection,2,0,0.7021052469135804,
I-CN-000298,2024-11-12,Major Repair,5,0,0.4311316358024692,
I-CN-000299,2024-11-08,Preventive,3,1,0.33779753086419745,
I-CN-000300,2024-11-06,Preventive,3,0,0.5065108410493829,
I-CN-000301,2024-10-04,Inspection,1,0,0.611480285493828,
I-CN-000302,2024-10-30,Major Repair,7,0,0.428379359567901,
I-CN-000303,2024-10-07,Preventive,3,0,0.49758094135802566,
G-CN-000304,2024-06-16,Preventive,1,340,1.3498302469135843,
G-CN-000305,2024-06-16,Preventive,0,807,1.3822831790123502,
G-CN-000306,2024-06-09,Inspection,0,491,1.3548932484567933,
G-CN-000307,2024-11-08,Inspection,0,66,1.3548932484567933,
G-CN-000308,2024-07-04,Preventive,0,551,1.3822831790123502,
G-CN-000309,2024-06-04,Preventive,2,0,1.2025894675925968,
G-CN-000310,2024-11-08,Inspection,0,450,1.3548932484567933,
G-CN-000311,2024-08-09,Inspection,0,745,1.3548932484567933,
G-CN-000312,2024-11-19,Inspection,0,325,1.3548932484567933,
G-CN-000313,2024-06-02,Inspection,0,389,1.3548932484567933,
G-CN-000314,2024-11-11,Inspection,0,346,1.3548932484567933,
G-CN-000315,2024-05-26,Preventive,0,102,1.3822831790123502,
G-CN-000316,2024-10-04,Inspection,1,1,1.287993364197533,
G-CN-000317,2024-11-22,Inspection,0,646,1.3548932484567933,
G-CN-000318,2024-09-24,Preventive,1,540,1.3498302469135843,
G-CN-000319,2024-08-19,Inspection,1,788,1.320872800925929,
G-CN-000320,2024-11-09,Preventive,1,685,1.3498302469135843,
G-CN-000321,2024-12-24,Inspection,1,847,1.320872800925929,
P-JP-000322,2024-08-24,Inspection,2,2,1.1125211805555542,
P-JP-000323,2024-07-24,Inspection,0,484,1.1577110339506194,
P-JP-000324,2024-11-20,Inspection,0,2,1.3218933641975326,
P-JP-000325,2024-09-14,Preventive,2,0,1.080001890432099,
P-JP-000326,2024-10-23,Corrective,5,0,0.3504531635802471,
P-JP-000327,2024-10-21,Major Repair,4,0,0.4004142361111119,
P-JP-000328,2024-08-24,Major Repair,6,0,0.3139971064814813,
P-JP-000329,2024-08-12,Corrective,4,0,0.37850937500000015,
I-JP-000330,2024-08-24,Preventive,2,0,0.6826308256172825,
I-JP-000331,2024-10-15,Preventive,1,0,0.38062986111111174,
I-JP-000332,2024-10-24,Preventive,0,433,0.7229298996913572,
I-JP-000333,2024-07-06,Corrective,4,0,0.5198336805555552,
I-JP-000334,2024-08-12,Inspection,1,1,0.7617374614197516,
I-JP-000335,2024-11-07,Major Repair,4,0,0.4570124614197528,
I-JP-000336,2024-11-11,Inspection,3,1,0.2605902391975311,
I-JP-000337,2024-10-03,Corrective,5,0,0.32207407407407423,
G-JP-000338,2024-07-19,Preventive,0,732,1.3822831790123502,
G-JP-000339,2024-12-04,Preventive,0,822,1.3822831790123502,
G-JP-000340,2024-10-17,Preventive,3,2,1.2382374228395099,
G-JP-000341,2024-08-27,Preventive,0,593,1.3822831790123502,
G-JP-000342,2024-10-10,Preventive,0,613,1.3822831790123502,
P-AU-000343,2024-11-26,Preventive,1,0,0.8620854938271608,
P-AU-000344,2024-08-27,Preventive,3,0,0.37208009259259195,
P-AU-000345,2024-10-09,Corrective,5,0,0.4155538966049387,
I-AU-000346,2024-08-24,Inspection,1,324,1.0451347222222225,
I-AU-000347,2024-08-27,Preventive,1,1,0.5240238425925919,
I-AU-000348,2024-09-23,Preventive,1,0,0.6028383487654314,
G-AU-000349,2024-08-23,Preventive,1,175,1.3498302469135843,
G-AU-000350,2024-12-27,Preventive,1,581,1.3498302469135843,
G-AU-000351,2024-09-27,Inspection,0,685,1.3548932484567933,
G-AU-000352,2024-08-08,Inspection,1,0,1.287993364197533,
P-US-000353,2024-12-22,Preventive,0,1,0.9705751929012365,
P-US-000354,2024-06-11,Inspection,1,0,1.0472935956790124,
P-US-000355,2024-09-26,Inspection,0,183,1.140462731481483,
P-US-000356,2024-09-21,Preventive,1,729,1.061139081790125,
P-US-000357,2024-11-07,Preventive,2,2,1.794470756172846,
P-US-000358,2024-10-04,Inspection,0,709,1.1166961419753092,
P-US-000359,2024-10-22,Preventive,1,626,1.476946026234573,
P-US-000360,2024-08-06,Inspection,0,2,1.455593364197534,
P-US-000361,2024-06-12,Inspection,0,316,1.2650685956790133,
P-US-000362,2024-10-22,Major Repair,4,0,0.4591903549382717,
P-US-000363,2024-11-25,Inspection,3,1,0.5282398919753086,
P-US-000364,2024-08-29,Preventive,3,0,0.32373059413580285,
P-US-000365,2024-11-16,Major Repair,6,0,0.5851316358024686,
P-US-000366,2024-09-30,Preventive,3,0,0.28730343364197497,
P-US-000367,2024-10-29,Major Repair,4,0,0.38772415123456777,
P-US-000368,2024-12-27,Preventive,0,0,0.5560346450617291,
P-US-000369,2024-12-07,Corrective,5,0,0.4418783564814814,
P-US-000370,2024-11-09,Major Repair,4,0,0.4787782021604936,
P-US-000371,2024-07-23,Corrective,4,0,0.5717126543209885,
I-US-000372,2024-07-12,Preventive,1,2,0.8422301311728407,
I-US-000373,2024-06-23,Inspection,3,1,0.40203522376543266,
I-US-000374,2024-12-23,Inspection,0,778,0.938023070987655,
I-US-000375,2024-11-15,Preventive,2,0,0.29095023148148186,
I-US-000376,2024-08-04,Inspection,1,0,1.1797131172839515,
I-US-000377,2024-06-30,Preventive,2,790,0.7884510030864209,
I-US-000378,2024-10-23,Inspection,3,670,1.0812628858024693,
I-US-000379,2024-07-29,Corrective,4,0,0.35385023148148176,
I-US-000380,2024-11-20,Inspection,0,741,0.9465485339506182,
I-US-000381,2024-12-06,Major Repair,6,0,0.5182777391975307,
I-US-000382,2024-12-12,Preventive,1,220,0.8078920524691364,
I-US-000383,2024-07-25,Inspection,1,687,0.9628353009259266,
I-US-000384,2024-10-02,Preventive,0,560,0.7035084490740731,
I-US-000385,2024-11-07,Preventive,3,0,0.9950897376543228,
I-US-000386,2024-11-26,Inspection,2,2,0.9458949845679007,
I-US-000387,2024-09-18,Preventive,2,1,0.3771027777777776,
I-US-000388,2024-11-08,Corrective,4,0,0.36959506172839535,
I-US-000389,2024-12-12,Inspection,3,0,0.6466136574074076,
I-US-000390,2024-08-29,Corrective,10,0,0.6086419753086421,
I-US-000391,2024-10-14,Preventive,2,0,0.31038209876543205,
I-US-000392,2024-10-07,Inspection,3,0,0.5535017361111116,
I-US-000393,2024-07-12,Preventive,0,2,0.49284170524691395,
I-US-000394,2024-08-26,Major Repair,4,0,0.4539486111111118,
I-US-000395,2024-09-26,Corrective,5,0,0.5703852237654317,
I-US-000396,2024-10-06,Inspection,3,0,0.39435536265432114,
I-US-000397,2024-08-18,Preventive,2,0,0.6411360339506179,
G-US-000398,2024-08-29,Inspection,0,890,1.3548932484567933,
G-US-000399,2024-08-23,Inspection,0,504,1.3548932484567933,
G-US-000400,2024-09-18,Preventive,0,212,1.3822831790123502,
G-US-000401,2024-05-20,Preventive,0,765,1.3822831790123502,
G-US-000402,2024-12-09,Inspection,1,1,1.3001028549382754,
G-US-000403,2024-07-15,Inspection,0,700,1.3548932484567933,
G-US-000404,2024-12-06,Preventive,0,705,1.3822831790123502,
G-US-000405,2024-09-18,Inspection,0,130,1.3548932484567933,
G-US-000406,2024-07-26,Inspection,0,535,1.3548932484567933,
G-US-000407,2024-12-07,Inspection,0,682,1.3548932484567933,
G-US-000408,2024-12-24,Preventive,2,60,1.2342788966049418,
G-US-000409,2024-09-12,Preventive,0,376,1.3822831790123502,
G-US-000410,2024-08-04,Inspection,1,74,1.320872800925929,
