incident_id,timestamp,door_id,country_id,door_type,usage_scenario,installation_environment,customer_type,context_criticality_id,alert_type_id
INC-P-ES-000009-96,2025-01-01 15:09:42,P-ES-000009,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-ES-000009-1399,2025-01-02 19:46:53,P-ES-000009,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-ES-000009-1526,2025-01-02 00:14:55,P-ES-000009,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-ES-000010-402,2025-01-01 23:34:32,P-ES-000010,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-ES-000010-465,2025-01-01 01:41:44,P-ES-000010,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-ES-000010-723,2025-01-01 21:09:41,P-ES-000010,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-ES-000010-803,2025-01-01 23:06:10,P-ES-000010,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-ES-000010-909,2025-01-02 15:54:59,P-ES-000010,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-ES-000010-1826,2025-01-03 23:20:02,P-ES-000010,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-ES-000011-80,2025-01-01 18:21:31,P-ES-000011,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-ES-000011-739,2025-01-01 11:19:42,P-ES-000011,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-ES-000011-1277,2025-01-02 08:08:02,P-ES-000011,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-ES-000011-1340,2025-01-02 09:41:54,P-ES-000011,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-ES-000012-40,2025-01-01 02:07:17,P-ES-000012,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-ES-000012-678,2025-01-01 21:21:06,P-ES-000012,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-ES-000012-701,2025-01-01 18:35:57,P-ES-000012,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-ES-000012-734,2025-01-01 07:10:19,P-ES-000012,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-ES-000012-761,2025-01-01 11:29:36,P-ES-000012,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-ES-000012-1183,2025-01-02 20:14:43,P-ES-000012,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-ES-000012-2064,2025-01-03 02:52:39,P-ES-000012,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-ES-000013-1521,2025-01-02 13:35:46,P-ES-000013,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-ES-000013-2097,2025-01-03 22:22:27,P-ES-000013,ES,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-I-ES-000014-323,2025-01-02 22:35:21,I-ES-000014,ES,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT03
INC-I-ES-000016-420,2025-01-03 04:04:35,I-ES-000016,ES,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT09
INC-I-ES-000017-4,2025-01-01 17:10:26,I-ES-000017,ES,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT03
INC-I-ES-000021-713,2025-01-01 05:08:39,I-ES-000021,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT09
INC-I-ES-000021-1107,2025-01-02 20:40:08,I-ES-000021,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-I-ES-000021-1734,2025-01-03 05:14:08,I-ES-000021,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT06
INC-I-ES-000022-115,2025-01-01 17:15:11,I-ES-000022,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT06
INC-I-ES-000022-1299,2025-01-02 13:29:16,I-ES-000022,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-ES-000022-1499,2025-01-02 02:00:42,I-ES-000022,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-I-ES-000022-1807,2025-01-03 04:17:08,I-ES-000022,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-I-ES-000022-2148,2025-01-03 00:18:58,I-ES-000022,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-ES-000023-749,2025-01-01 17:50:18,I-ES-000023,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT06
INC-I-ES-000023-1083,2025-01-02 11:42:53,I-ES-000023,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-I-ES-000023-1247,2025-01-02 13:55:05,I-ES-000023,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-ES-000023-1635,2025-01-02 17:55:43,I-ES-000023,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-I-ES-000023-2240,2025-01-03 07:09:50,I-ES-000023,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT09
INC-I-ES-000023-2297,2025-01-03 23:56:48,I-ES-000023,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT06
INC-I-ES-000024-287,2025-01-01 04:24:54,I-ES-000024,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT09
INC-I-ES-000024-487,2025-01-01 08:55:21,I-ES-000024,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT06
INC-I-ES-000024-1163,2025-01-02 11:44:29,I-ES-000024,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-ES-000024-2022,2025-01-03 01:24:56,I-ES-000024,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT06
INC-I-ES-000025-62,2025-01-01 19:11:37,I-ES-000025,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT06
INC-I-ES-000025-332,2025-01-01 20:27:47,I-ES-000025,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-ES-000025-342,2025-01-01 00:03:40,I-ES-000025,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT06
INC-I-ES-000025-525,2025-01-01 22:26:47,I-ES-000025,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-I-ES-000025-552,2025-01-01 16:04:11,I-ES-000025,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-ES-000025-797,2025-01-02 12:18:49,I-ES-000025,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-ES-000025-1397,2025-01-02 13:08:00,I-ES-000025,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-ES-000025-1518,2025-01-02 04:55:28,I-ES-000025,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT09
INC-I-ES-000025-1879,2025-01-03 19:46:47,I-ES-000025,ES,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT09
INC-G-ES-000037-139,2025-01-03 12:50:00,G-ES-000037,ES,ECOline Home,moderate,Community,B2C,CC05,AT09
INC-P-FR-000038-63,2025-01-01 00:53:10,P-FR-000038,FR,ECOline Pedestrian,low,Office,B2B,CC01,AT02
INC-P-FR-000039-284,2025-01-03 00:19:30,P-FR-000039,FR,ECOline Pedestrian,low,Office,B2B,CC01,AT03
INC-P-FR-000041-26,2025-01-01 00:07:09,P-FR-000041,FR,ECOline Pedestrian,low,Office,B2B,CC01,AT01
INC-P-FR-000042-29,2025-01-01 17:59:04,P-FR-000042,FR,ECOline Pedestrian,low,Office,B2B,CC01,AT02
INC-P-FR-000042-303,2025-01-03 22:04:04,P-FR-000042,FR,ECOline Pedestrian,low,Office,B2B,CC01,AT01
INC-P-FR-000043-451,2025-01-01 17:16:37,P-FR-000043,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-FR-000043-1111,2025-01-02 15:40:32,P-FR-000043,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-FR-000043-1645,2025-01-03 07:16:37,P-FR-000043,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-FR-000043-2310,2025-01-03 00:14:22,P-FR-000043,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-FR-000044-26,2025-01-01 13:02:39,P-FR-000044,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-FR-000044-381,2025-01-01 06:59:23,P-FR-000044,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-FR-000044-1752,2025-01-03 22:35:59,P-FR-000044,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-FR-000044-2349,2025-01-03 13:29:57,P-FR-000044,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-FR-000045-571,2025-01-01 05:19:00,P-FR-000045,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-FR-000045-976,2025-01-02 03:40:44,P-FR-000045,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-FR-000046-437,2025-01-01 14:36:21,P-FR-000046,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-FR-000046-687,2025-01-01 06:00:27,P-FR-000046,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-FR-000046-1325,2025-01-02 12:16:48,P-FR-000046,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-FR-000046-2153,2025-01-03 20:42:19,P-FR-000046,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-FR-000047-40,2025-01-01 14:01:18,P-FR-000047,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-FR-000047-538,2025-01-01 13:25:19,P-FR-000047,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-FR-000047-617,2025-01-01 00:22:20,P-FR-000047,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-FR-000047-663,2025-01-01 18:16:29,P-FR-000047,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-FR-000047-800,2025-01-02 12:42:52,P-FR-000047,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-FR-000047-953,2025-01-02 08:00:44,P-FR-000047,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-FR-000047-1684,2025-01-03 02:47:03,P-FR-000047,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-FR-000047-2268,2025-01-03 13:36:02,P-FR-000047,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-FR-000048-937,2025-01-02 10:29:22,P-FR-000048,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-FR-000048-1479,2025-01-02 16:12:07,P-FR-000048,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-FR-000048-1700,2025-01-03 21:52:10,P-FR-000048,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-FR-000048-2055,2025-01-03 14:32:13,P-FR-000048,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-FR-000049-182,2025-01-01 20:19:21,P-FR-000049,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-FR-000049-242,2025-01-01 06:26:00,P-FR-000049,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-FR-000049-448,2025-01-01 08:25:55,P-FR-000049,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-FR-000049-791,2025-01-01 00:34:46,P-FR-000049,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-FR-000049-1672,2025-01-03 17:59:35,P-FR-000049,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-FR-000049-1779,2025-01-03 22:27:11,P-FR-000049,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-FR-000049-1809,2025-01-03 01:21:27,P-FR-000049,FR,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-I-FR-000050-379,2025-01-03 20:51:56,I-FR-000050,FR,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT03
INC-I-FR-000051-580,2025-01-03 01:36:47,I-FR-000051,FR,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT06
INC-I-FR-000053-114,2025-01-01 19:36:39,I-FR-000053,FR,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT06
INC-I-FR-000053-445,2025-01-03 03:17:49,I-FR-000053,FR,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT03
INC-I-FR-000053-527,2025-01-03 16:05:24,I-FR-000053,FR,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT06
INC-I-FR-000055-561,2025-01-03 11:02:43,I-FR-000055,FR,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT09
INC-I-FR-000057-167,2025-01-01 21:49:22,I-FR-000057,FR,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-FR-000057-751,2025-01-01 03:40:33,I-FR-000057,FR,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT09
INC-I-FR-000057-2023,2025-01-03 06:34:32,I-FR-000057,FR,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-I-FR-000058-236,2025-01-01 02:29:58,I-FR-000058,FR,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT06
INC-I-FR-000058-1723,2025-01-03 04:04:57,I-FR-000058,FR,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-FR-000058-2152,2025-01-03 14:12:25,I-FR-000058,FR,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-I-FR-000059-824,2025-01-02 02:00:47,I-FR-000059,FR,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT06
INC-I-FR-000059-1874,2025-01-03 07:27:29,I-FR-000059,FR,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-FR-000059-2270,2025-01-03 23:06:00,I-FR-000059,FR,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-FR-000060-292,2025-01-01 15:52:00,I-FR-000060,FR,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT06
INC-I-FR-000060-1154,2025-01-02 16:43:42,I-FR-000060,FR,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-FR-000060-1383,2025-01-02 02:21:25,I-FR-000060,FR,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-G-FR-000071-142,2025-01-03 13:32:23,G-FR-000071,FR,ECOline Home,moderate,Community,B2C,CC05,AT09
INC-P-DE-000072-31,2025-01-01 16:28:08,P-DE-000072,DE,ECOline Pedestrian,low,Office,B2B,CC01,AT09
INC-P-DE-000072-323,2025-01-03 10:34:58,P-DE-000072,DE,ECOline Pedestrian,low,Office,B2B,CC01,AT01
INC-P-DE-000073-73,2025-01-01 12:06:28,P-DE-000073,DE,ECOline Pedestrian,low,Office,B2B,CC01,AT01
INC-P-DE-000075-119,2025-01-01 04:25:10,P-DE-000075,DE,ECOline Pedestrian,low,Office,B2B,CC01,AT03
INC-P-DE-000075-253,2025-01-03 13:53:07,P-DE-000075,DE,ECOline Pedestrian,low,Office,B2B,CC01,AT03
INC-P-DE-000077-443,2025-01-01 14:40:33,P-DE-000077,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-DE-000077-544,2025-01-01 01:49:24,P-DE-000077,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-DE-000077-724,2025-01-01 19:51:54,P-DE-000077,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-DE-000077-847,2025-01-01 03:23:08,P-DE-000077,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-DE-000077-1899,2025-01-03 00:03:14,P-DE-000077,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-DE-000078-916,2025-01-02 19:42:36,P-DE-000078,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-DE-000078-1159,2025-01-02 20:59:53,P-DE-000078,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-DE-000078-1293,2025-01-02 03:30:19,P-DE-000078,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-DE-000078-1785,2025-01-03 17:39:45,P-DE-000078,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-DE-000078-1799,2025-01-03 05:42:29,P-DE-000078,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-DE-000078-1838,2025-01-03 10:15:33,P-DE-000078,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-DE-000078-2337,2025-01-03 11:23:12,P-DE-000078,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-DE-000078-2448,2025-01-03 13:56:39,P-DE-000078,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-DE-000079-1004,2025-01-02 11:36:50,P-DE-000079,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-DE-000079-1232,2025-01-02 04:15:38,P-DE-000079,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-DE-000079-1484,2025-01-02 21:17:22,P-DE-000079,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-DE-000079-1782,2025-01-03 14:21:15,P-DE-000079,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-DE-000079-1993,2025-01-03 15:43:06,P-DE-000079,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-DE-000079-2129,2025-01-03 11:05:13,P-DE-000079,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-DE-000079-2139,2025-01-03 01:26:11,P-DE-000079,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT09
INC-P-DE-000079-2457,2025-01-03 10:25:32,P-DE-000079,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-DE-000080-770,2025-01-01 05:35:24,P-DE-000080,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-DE-000080-1149,2025-01-02 17:42:55,P-DE-000080,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-DE-000080-1240,2025-01-02 00:38:03,P-DE-000080,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-DE-000080-1679,2025-01-03 14:24:03,P-DE-000080,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT03
INC-P-DE-000081-140,2025-01-01 13:38:42,P-DE-000081,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-DE-000081-720,2025-01-01 06:31:09,P-DE-000081,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-DE-000082-1142,2025-01-02 09:29:30,P-DE-000082,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-DE-000082-1819,2025-01-03 20:50:44,P-DE-000082,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-DE-000082-2064,2025-01-03 07:32:54,P-DE-000082,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-DE-000082-2181,2025-01-03 04:49:50,P-DE-000082,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-P-DE-000082-2221,2025-01-03 06:15:33,P-DE-000082,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT02
INC-P-DE-000082-2241,2025-01-03 16:36:13,P-DE-000082,DE,ECOline Pedestrian,intensive,Retail/Hospital,B2B,CC02,AT01
INC-I-DE-000084-7,2025-01-01 07:10:40,I-DE-000084,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT03
INC-I-DE-000084-413,2025-01-03 17:55:52,I-DE-000084,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT06
INC-I-DE-000084-519,2025-01-03 12:06:54,I-DE-000084,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT03
INC-I-DE-000085-110,2025-01-01 06:41:23,I-DE-000085,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT05
INC-I-DE-000085-121,2025-01-01 10:38:08,I-DE-000085,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT06
INC-I-DE-000085-223,2025-01-02 08:43:22,I-DE-000085,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT09
INC-I-DE-000085-224,2025-01-02 07:00:09,I-DE-000085,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT05
INC-I-DE-000087-166,2025-01-01 16:43:15,I-DE-000087,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT05
INC-I-DE-000087-403,2025-01-02 06:47:06,I-DE-000087,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT09
INC-I-DE-000087-499,2025-01-03 21:16:57,I-DE-000087,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT05
INC-I-DE-000088-41,2025-01-01 06:33:30,I-DE-000088,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT09
INC-I-DE-000088-477,2025-01-03 20:32:08,I-DE-000088,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT09
INC-I-DE-000089-25,2025-01-01 05:32:42,I-DE-000089,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT05
INC-I-DE-000089-268,2025-01-02 07:41:58,I-DE-000089,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT03
INC-I-DE-000090-90,2025-01-01 02:07:42,I-DE-000090,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT03
INC-I-DE-000090-257,2025-01-02 07:10:03,I-DE-000090,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT09
INC-I-DE-000090-332,2025-01-02 14:50:38,I-DE-000090,DE,ROLLfast Industrial 300,moderate,Standard Dock,B2B,CC03,AT06
INC-I-DE-000092-519,2025-01-01 02:08:03,I-DE-000092,DE,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT09
INC-I-DE-000092-1317,2025-01-02 08:17:05,I-DE-000092,DE,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT09
INC-I-DE-000092-1904,2025-01-03 03:05:27,I-DE-000092,DE,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT09
INC-I-DE-000093-275,2025-01-01 14:26:14,I-DE-000093,DE,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-I-DE-000093-455,2025-01-01 20:10:25,I-DE-000093,DE,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-I-DE-000094-306,2025-01-01 03:53:36,I-DE-000094,DE,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-I-DE-000094-496,2025-01-01 15:44:35,I-DE-000094,DE,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT09
INC-I-DE-000094-776,2025-01-01 15:27:05,I-DE-000094,DE,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT06
INC-I-DE-000094-1258,2025-01-02 19:26:15,I-DE-000094,DE,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT03
INC-I-DE-000094-1991,2025-01-03 17:19:44,I-DE-000094,DE,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-DE-000095-523,2025-01-01 06:07:07,I-DE-000095,DE,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
INC-I-DE-000095-1305,2025-01-02 03:42:05,I-DE-000095,DE,ROLLfast Industrial 300,intensive,High Speed Door,B2B,CC04,AT05
